,brain.txt,hacking.txt,rtj3.txt
a,0.00170073383572,0.00113382255714,0.00516519164922
abil,0.996488297427,,0.996488297427
abl,0.599303982475,,5.39373584228
about,0.188530432424,0.377060864848,0.565591297271
abov,,,1.28773045963
absolut,,,1.67658333914
abund,2.25799093255,,
accept,,0.552585882007,0.552585882007
access,0.627805882716,,
achiev,0.627098085117,,
acknowledg,,,1.5146203068
acr,,,2.55454760944
across,,,1.09839691188
act,,0.358945092473,0.717890184946
action,,1.19608633014,
activ,0.762393206568,0.381196603284,
actor,,1.44518830707,
actual,,,1.2570283633
ad,,1.3467372836,
addit,0.220218882972,,
address,,,1.05137103247
adebimp,,,7.2746685411
administr,0.871244866238,2.61373459871,
adolesc,3.06456318861,,
aducanumab,7.18765716411,,
adult,,,4.47925088562
advanc,2.77208484871,,0.693021212178
advantag,,,1.20120515883
advis,,1.61233957346,
affect,0.908041904384,,
afflict,,,7.16703787692
afloat,,,4.52506933709
after,0.0409813892962,0.0614720839443,0.0819627785924
afteract,,7.18765716411,
afternoon,,,2.33888741825
again,,,0.822680463224
against,0.254802851078,0.254802851078,0.509605702156
age,,,0.396248453003
agenc,,1.25254253424,
aggress,1.83264445389,,
agil,,,3.72976443878
ago,,,3.6032684343
aid,,0.976889765079,0.976889765079
aim,,,1.06333853704
ain't,,,7.2746685411
album,,,9.94349916825
alchemi,,,4.68213122712
alfr,1.88601200747,,
aliv,,,2.01859463342
all,0.0114026320978,,0.193844745663
alli,,,1.28639088493
allow,0.480561222378,,0.240280611189
almost,,,0.429078843334
along,,0.260344385917,0.520688771834
alongsid,,,1.40434493384
alreadi,,1.34095676149,4.69334866523
also,0.0879429468,0.0293143156,0.0293143156
altern,,,0.760359972282
altogeth,2.38090760473,,
alway,,,4.35791522743
alzheim,13.3566239665,,
am,,,2.68581149266
ambit,,,2.52264697777
american,,,1.64948606173
amid,,,2.68046738649
among,0.228496097073,,
amyotroph,6.49450998356,,
an,0.00378167199957,0.00756334399914,0.0163872453315
and,0.00113382255714,0.00163774369365,0.00642499449049
anesthet,5.27811465923,,
anger,,,2.12242847141
angri,,,2.56268435083
ani,,0.125608358366,0.376825075098
anoth,,,0.383689084956
answer,,,1.5366310419
anticip,,2.05333039768,
antidepress,5.08759633523,,
antitrump,,,7.2746685411
anxieti,12.1728022419,,
anyth,,,3.0470798917
appear,0.557471796986,0.278735898493,0.278735898493
appoint,1.03032513351,,
approv,1.05065031172,,
are,0.0884024207481,0.117869894331,0.412544630158
aren't,,,7.2746685411
arm,,0.850831432969,
around,,,1.93877105782
arriv,,,0.708891538288
art,,,0.692895259662
artist,,,2.10635022034
as,0.00661688299577,0.00945268999396,0.0245769939843
ashen,,,7.2746685411
ask,,,3.88398604923
ass,,,16.1510968429
assault,,,3.78034695664
